Categoria,Nombre_Producto,Descripcion,Precio_Mayorista,Tamano_Bulto,URL_Imagen,Precio_Minorista,Stock
Alfajores,Alfajor MOGY negro x 38 gr.,Alfajor MOGY negro x 38 gr.,285.00,40,https://davelcor.com.ar/wp-content/uploads/2021/05/Alfajor-Mogy-Negro-38-gr-240x240.jpg,,100
Alfajores,Alfajor Nevares x 45 gr. – Blanco,Alfajor Nevares x 45 gr. – Blanco,295.00,40,https://davelcor.com.ar/wp-content/uploads/2021/05/Alfajores-Blanco-Nevares-x-45-gr-240x240.jpg,,100
Alfajores,Alfajor Nevares x 45 gr. – Negro,Alfajor Nevares x 45 gr. – Negro,295.00,40,https://davelcor.com.ar/wp-content/uploads/2021/05/Alfajores-Negro-Nevares-x-45-gr-240x240.jpg,,100
Alfajores,Alfajor Pamela x 35 gr. – Blanco,Alfajor Pamela x 35 gr. – Blanco,315.00,36,https://davelcor.com.ar/wp-content/uploads/Alfajor-Pamela-x-35-gr.-Blanco-240x240.jpg,,100
Alfajores,Alfajor Pamela x 35 gr. – Negro,Alfajor Pamela x 35 gr. – Negro,315.00,36,https://davelcor.com.ar/wp-content/uploads/Alfajor-Pamela-x-35-gr-240x240.jpg,,100
Alfajores,Alfajor Rasta Blanco x 70 gr.,Alfajor Rasta Blanco x 70 gr.,1100.00,18,https://davelcor.com.ar/wp-content/uploads/Alfajor-Rasta-Blanco-x-70-gr-copia-240x240.jpg,,100
Alfajores,Alfajor Rasta Negro x 70 gr.,Alfajor Rasta Negro x 70 gr.,1100.00,18,https://davelcor.com.ar/wp-content/uploads/Alfajor-Rasta-Negro-x-70-gr-copia-240x240.jpg,,100
Alfajores,Alfajor Rasta Trico x 100 gr.,Alfajor Rasta Trico x 100 gr.,1590.00,14,https://davelcor.com.ar/wp-content/uploads/Alfajor-Rasta-Trico-x-100-gr-240x240.jpg,,100
Alfajores,Alfajor Smack x 60 gr. – Negro,Alfajor Smack x 60 gr. – Negro,310.00,24,https://davelcor.com.ar/wp-content/uploads/Alfajor-Smack-x-60-gr-240x240.jpg,,100
Higiene Personal,Algodon Doncella x 70 gr.,Algodon Doncella x 70 gr.,690.00,40,https://davelcor.com.ar/wp-content/uploads/2021/05/Algodon-Doncella-x-70-gr-240x240.jpg,,100
Mascotas,Alimento Gatos Magnificos (pescado) x 8 Kg.,Alimento Gatos Magnificos (pescado) x 8 Kg.,17500.00,1,https://davelcor.com.ar/wp-content/uploads/2021/08/Alimento-para-gatos-Magnificos-pescado-x-8-Kg-240x240.jpg,,100
Mascotas,Alimento Perros Magnificos (carne) x 10 Kg.,Alimento Perros Magnificos (carne) x 10 Kg.,13300.00,1,https://davelcor.com.ar/wp-content/uploads/Alimento-pperros-Magnificos-Adultoscarne-x-10-Kg-240x240.jpg,,100
Reposteria y Postres,Almidon de maiz Velez x 250 gr.,Almidon de maiz Velez x 250 gr.,1100.00,10,https://davelcor.com.ar/wp-content/uploads/Almidon-de-maiz-Velez-x-250-gr-240x240.jpg,,100
Legumbres / Cereales,Almohaditas Lasfor x 2.5 Kg. – Frutilla,Almohaditas Lasfor x 2.5 Kg. – Frutilla,17800.00,5,https://davelcor.com.ar/wp-content/uploads/Almohadita-Lasfor-x-2.5-Kg.-Chocolate-240x240.jpg,,100
Bebidas sin alcohol,Amargo Terma x 1.35 Lt. – Cuyano,Amargo Terma x 1.35 Lt. – Cuyano,1990.00,12,https://davelcor.com.ar/wp-content/uploads/2021/06/Amargo-Terma-Cuyano-x-1.35-Lt--240x240.jpg,,100
Bebidas sin alcohol,Amargo Terma x 1.35 Lt. – Serrano,Amargo Terma x 1.35 Lt. – Serrano,1990.00,12,https://davelcor.com.ar/wp-content/uploads/2021/06/Amargo-Terma-Serrano-x-1.35-Lt--240x240.jpg,,100
Legumbres / Cereales,Anillos Frutados Lasfor x 2 Kg.,Anillos Frutados Lasfor x 2 Kg.,12200.00,5,https://davelcor.com.ar/wp-content/uploads/Anillos-Frutados-Lasfor-x-2-Kg-240x240.jpg,,100
Aderezos y Condimentos Velez,Anis en grano Velez x 25 gr.,Anis en grano Velez x 25 gr.,570.00,10,https://davelcor.com.ar/wp-content/uploads/Anis-en-grano-Velez-x-25-gr-240x240.jpg,,100
Bebidas con alcohol,Aperitivo Aperol x 750 cc.,Aperitivo Aperol x 750 cc.,8800.00,6,https://davelcor.com.ar/wp-content/uploads/2021/05/Aperol-Spritz-x-750-cc-240x240.jpg,,100
Bebidas con alcohol,Aperitivo Cynar x 750 cc.,Aperitivo Cynar x 750 cc.,7800.00,6,https://davelcor.com.ar/wp-content/uploads/Cynar-aperitivo-x-750-cc-240x240.jpg,,100
Bebidas con alcohol,Aperitivo Gancia x 950 cc.,Aperitivo Gancia x 950 cc.,6500.00,12,https://davelcor.com.ar/wp-content/uploads/2021/05/Americano-Gancia-x-950-cc-240x240.jpg,,100
Bebidas con alcohol,Aperitivo Martini Bianco x 1 Lt.,Aperitivo Martini Bianco x 1 Lt.,6800.00,12,https://davelcor.com.ar/wp-content/uploads/2021/05/Vermouth-Martini-Bianco-x-1-Lt-240x240.jpg,,100
Arroz,Arroz Dos Hermanos Parborizado x 500 gr.,Arroz Dos Hermanos Parborizado x 500 gr.,920.00,10,https://davelcor.com.ar/wp-content/uploads/2021/05/Arroz-Dos-Hermanos-Parborizado-x-500-gr-240x240.jpg,,100
Arroz,Arroz Dos Hermanos x 1 Kg.,Arroz Dos Hermanos x 1 Kg.,1430.00,10,https://davelcor.com.ar/wp-content/uploads/2021/05/Arroz-Dos-Hermano-x-1-Kg-240x240.jpg,,100
Arroz,Arroz Dos Hermanos x 500 gr.,Arroz Dos Hermanos x 500 gr.,795.00,10,https://davelcor.com.ar/wp-content/uploads/2021/05/Arroz-Dos-Hermanos-x-500-gr-240x240.jpg,,100
Arroz,Arroz Mandisovi Doble Carolina x 1 Kg.,Arroz Mandisovi Doble Carolina x 1 Kg.,1840.00,10,https://davelcor.com.ar/wp-content/uploads/2021/05/Arroz-Doble-Carolina-Mandisovi-x-1-Kg-240x240.jpg,,100
Arroz,Arroz Mandisovi Doble Carolina x 500 gr.,Arroz Mandisovi Doble Carolina x 500 gr.,970.00,10,https://davelcor.com.ar/wp-content/uploads/2021/05/Arroz-Doble-Carolina-Mandisovi-x-500-gr-240x240.jpg,,100
Arroz,Arroz Mandisovi x 1 Kg.,Arroz Mandisovi x 1 Kg.,1040.00,10,https://davelcor.com.ar/wp-content/uploads/2021/05/Arroz-Mandisovi-x-1-Kg-240x240.jpg,,100
Arroz,Arroz Mandisovi x 500 gr.,Arroz Mandisovi x 500 gr.,560.00,10,https://davelcor.com.ar/wp-content/uploads/2021/05/Arroz-Mandisovi-x-500-gr-2-240x240.jpg,,100
